Date,Close
10/1/2012,12370.19
10/2/2012,12391.23
10/3/2012,12359.47
10/4/2012,12447.68
10/5/2012,12418.99
10/9/2012,12273.57
10/10/2012,12212.42
10/11/2012,12233.95
10/12/2012,12202.04
10/15/2012,12229.96
10/16/2012,12407.7
10/17/2012,12461.25
10/18/2012,12466.12
10/19/2012,12415.98
10/22/2012,12403.54
10/23/2012,12225.84
10/24/2012,12195.02
10/25/2012,12300.23
10/26/2012,12300.3
10/29/2012,12312.75
10/30/2012,12377.05
10/31/2012,12422.91
11/1/2012,12499.76
11/2/2012,12380.41
11/5/2012,12352.78
11/6/2012,12361.2
11/7/2012,12230.59
11/8/2012,12191.05
11/9/2012,12196.8
11/12/2012,12191.46
11/13/2012,12134.66
11/14/2012,11929.79
11/15/2012,11811.38
11/16/2012,11877.72
11/19/2012,12040.4
11/20/2012,12046.28
11/21/2012,12100.06
11/22/2012,12153.1
11/23/2012,12213.24
11/26/2012,12185.05
11/27/2012,12111.63
11/28/2012,12140.33
11/29/2012,12202.85
11/30/2012,12239.36
12/3/2012,12169.74
12/4/2012,12137.18
12/5/2012,12157.29
12/6/2012,12151.13
12/7/2012,12159.59
12/10/2012,12230.47
12/11/2012,12282.36
12/12/2012,12353.09
12/13/2012,12289.17
12/14/2012,12296.72
12/17/2012,12281.35
12/18/2012,12334.34
12/19/2012,12403.63
12/20/2012,12388.71
12/21/2012,12385.7
12/24/2012,12370.8
12/27/2012,12373.77
12/28/2012,12316.12
12/31/2012,12433.53
1/2/2013,12540.77
1/3/2013,12470.44
1/4/2013,12540.81
1/7/2013,12499.55
1/8/2013,12504.81
1/9/2013,12522.24
1/10/2013,12599.74
1/11/2013,12602.18
1/14/2013,12603.09
1/15/2013,12641.97
1/16/2013,12608.82
1/17/2013,12674.73
1/18/2013,12725.69
1/21/2013,12794.25
1/22/2013,12824.63
1/23/2013,12794.05
1/24/2013,12823.62
1/25/2013,12816.63
1/28/2013,12815.91
1/29/2013,12830.56
1/30/2013,12794.44
1/31/2013,12685.24
2/1/2013,12768.83
2/4/2013,12717.62
2/5/2013,12745.65
2/6/2013,12761.59
2/7/2013,12755.92
2/8/2013,12801.23
2/11/2013,12748.15
2/12/2013,12789.02
2/13/2013,12775.28
2/14/2013,12721.79
2/15/2013,12686.63
2/19/2013,12810.21
2/20/2013,12714.05
2/21/2013,12639.97
2/22/2013,12701.63
2/25/2013,12650.87
2/26/2013,12660.44
2/27/2013,12732.39
2/28/2013,12821.83
3/1/2013,12773.12
3/4/2013,12707.41
3/5/2013,12736.04
3/6/2013,12831.96
3/7/2013,12826.52
3/8/2013,12835.61
3/11/2013,12858.49
3/12/2013,12878.58
3/13/2013,12744.11
3/14/2013,12799.91
3/15/2013,12830.03
3/18/2013,12781.76
3/19/2013,12773.87
3/20/2013,12826.55
3/21/2013,12747.87
3/22/2013,12757.35
3/25/2013,12680.71
3/26/2013,12706.38
3/27/2013,12699.65
3/28/2013,12749.9
4/1/2013,12695.14
4/2/2013,12682.1
4/3/2013,12422.12
4/4/2013,12363.05
4/5/2013,12331.85
4/8/2013,12344.56
4/9/2013,12484.05
4/10/2013,12534.91
4/11/2013,12481.37
4/12/2013,12337.59
4/15/2013,12004.88
4/16/2013,12119.92
4/17/2013,11947.29
4/18/2013,11996.34
4/19/2013,12065.55
4/22/2013,12090.68
4/23/2013,12090.94
4/24/2013,12270.43
4/25/2013,12329.51
4/26/2013,12220.2
4/29/2013,12312.67
4/30/2013,12456.5
5/1/2013,12321.29
5/2/2013,12379.64
5/3/2013,12438.03
5/6/2013,12453.92
5/7/2013,12464.11
5/8/2013,12585.05
5/9/2013,12543.9
5/10/2013,12589.09
5/13/2013,12529.55
5/14/2013,12577.05
5/15/2013,12473.65
5/16/2013,12507.6
5/17/2013,12613.05
5/21/2013,12742.43
5/22/2013,12752.5
5/23/2013,12658.09
5/24/2013,12667.22
5/27/2013,12696.37
5/28/2013,12750.52
5/29/2013,12732.61
5/30/2013,12746.55
5/31/2013,12650.42
6/3/2013,12609.8
6/4/2013,12593.97
6/5/2013,12443.65
6/6/2013,12409.33
6/7/2013,12373.3
6/10/2013,12382.67
6/11/2013,12223.57
6/12/2013,12109.89
6/13/2013,12277.13
6/14/2013,12187.36
6/17/2013,12288.9
6/18/2013,12367.46
6/19/2013,12268.29
6/20/2013,11968.57
6/21/2013,11995.66
6/24/2013,11836.86
6/25/2013,12005.42
6/26/2013,11951.9
6/27/2013,12005.78
6/28/2013,12129.11
7/2/2013,12178.38
7/3/2013,12145.68
7/4/2013,12166.66
7/5/2013,12134.91
7/8/2013,12208.87
7/9/2013,12297.09
7/10/2013,12306.93
7/11/2013,12493.26
7/12/2013,12462.18
7/15/2013,12528.35
7/16/2013,12516.89
7/17/2013,12568.77
7/18/2013,12628.85
7/19/2013,12685.13
7/22/2013,12758.38
7/23/2013,12745.38
7/24/2013,12672.3
7/25/2013,12669.14
7/26/2013,12647.9
7/29/2013,12669.04
7/30/2013,12581.75
7/31/2013,12486.64
8/1/2013,12593.96
8/2/2013,12603.25
8/6/2013,12469.32
8/7/2013,12412.73
8/8/2013,12552.92
8/9/2013,12542.13
8/12/2013,12594.27
8/13/2013,12642.19
8/14/2013,12639.3
8/15/2013,12704.52
8/16/2013,12736.92
8/19/2013,12588.02
8/20/2013,12670.11
8/21/2013,12573.08
8/22/2013,12674.35
